side,path,package,classification,target,content_available,methods,fields,static_tokens,empty_blocks,swallowed_catches,packet,asset,risk,imports
CLIENT,CSHARP_MIGRATION_PLAN.md,CSHARP_MIGRATION_PLAN.md,NOT_REQUIRED,lib/core or explicit NOT_REQUIRED decision,NO,0,0,0,0,0,NO,NO,LOW,
CLIENT,GITHUB_PUSH.md,GITHUB_PUSH.md,NOT_REQUIRED,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,README.md,README.md,NOT_REQUIRED,lib/core or explicit NOT_REQUIRED decision,NO,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/AndroidManifest.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,YES,MEDIUM,
CLIENT,android/Info.plist.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/assets/res/agent.txt,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/assets/res/provider.txt,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/project.properties,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res/values/color.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res/values/strings.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res/values/styles.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res1/drawable-anydpi-v26/ic_launcher.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,YES,MEDIUM,
CLIENT,android/res1/drawable-anydpi-v26/ic_launcher_foreground.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,YES,MEDIUM,
CLIENT,android/res1/values-v21/styles.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res1/values/color.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res1/values/strings.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/res1/values/styles.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,NO,LOW,
CLIENT,android/robovm.xml,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,0,0,NO,YES,MEDIUM,
CLIENT,android/src/com/mygdx/game/AndroidLauncher.java,android,PLATFORM_SPECIFIC,lib/core or explicit NOT_REQUIRED decision,YES,1,0,0,0,0,NO,NO,LOW,"android.os.Bundle, com.badlogic.gdx.backends.android.AndroidApplication, com.badlogic.gdx.backends.android.AndroidApplicationConfiguration, com.teamobi.mobiarmy2.MainGame"
CLIENT,core/src/CLib/EasingEnum.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,32,32,0,0,NO,NO,HIGH,
CLIENT,core/src/CLib/EasingFunction.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,89,1,65,0,0,NO,NO,HIGH,model.CRes
CLIENT,core/src/CLib/Graphics.java,CLib,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,1,15,14,0,0,NO,NO,MEDIUM,com.badlogic.gdx.graphics.g2d.SpriteBatch
CLIENT,core/src/CLib/Image.java,CLib,REPLACE_WITH_FLAME,lib/features/gameplay/game or lib/core/assets,YES,48,4,19,1,0,NO,YES,MEDIUM,"com.badlogic.gdx.Gdx, com.badlogic.gdx.assets.AssetManager, com.badlogic.gdx.files.FileHandle, com.badlogic.gdx.graphics.Color, com.badlogic.gdx.graphics.Pixmap, com.badlogic.gdx.graphics.Texture, com.badlogic.gdx.graphics.TextureData, com.badlogic.gdx.graphics.g2d.TextureRegion"
CLIENT,core/src/CLib/LibSysTem.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,3,2,4,0,0,NO,NO,LOW,"com.badlogic.gdx.Gdx, java.io.InputStream"
CLIENT,core/src/CLib/Library_Images.java,CLib,DEAD_OR_PLACEHOLDER,lib/core or explicit NOT_REQUIRED decision,YES,0,0,0,1,0,NO,NO,MEDIUM,
CLIENT,core/src/CLib/Main.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,1,2,3,1,0,NO,NO,MEDIUM,
CLIENT,core/src/CLib/ManagerTile.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,8,5,9,2,2,NO,YES,HIGH,com.badlogic.gdx.graphics.Pixmap
CLIENT,core/src/CLib/MapKey.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,2,1,3,0,0,NO,NO,LOW,com.badlogic.gdx.Input
CLIENT,core/src/CLib/RMS.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,22,1,10,2,2,NO,NO,HIGH,"com.badlogic.gdx.Files, com.badlogic.gdx.Gdx, com.badlogic.gdx.files.FileHandle, com.teamobi.mobiarmy2.GameMidlet, model.CRes"
CLIENT,core/src/CLib/ScrollResult.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,3,0,0,0,NO,NO,LOW,
CLIENT,core/src/CLib/SoundSystem.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,18,3,0,0,0,NO,YES,MEDIUM,"com.badlogic.gdx.Gdx, com.badlogic.gdx.audio.Music, com.badlogic.gdx.audio.Sound, com.badlogic.gdx.files.FileHandle, coreLG.CCanvas"
CLIENT,core/src/CLib/Sound_Key.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,69,69,0,0,NO,NO,HIGH,
CLIENT,core/src/CLib/Sprite.java,CLib,UNRESOLVED,lib/core or explicit NOT_REQUIRED decision,YES,0,8,8,0,0,NO,NO,MEDIUM,
