ID,Group,Java Class,Status,Entry Condition,Exit Actions,Data Displayed,Network Commands
1.1,Splash/Login,SplashScr,MERGED,App Launch,Show ServerList,Logo animation,None
1.2,Splash/Login,ServerListScreen,REQUIRED,Splash End,Connect & Show Login,Server list / Status,UpdateServer
1.3,Splash/Login,LoginScr,MERGED,Server Selected,Auth Success -> Menu,User/Pass fields,Login / Register
2.1,Main Menu,MenuScr,REQUIRED,Authenticated,Select Feature,Menu list / Player info,CharInfo / EquipInfo
3.1,Lobby,RoomListScr,MERGED,Select "To Area",Join Room,Area list / Player count,RequestRoomList
3.2,Lobby,RoomListScr2,REQUIRED,Select "Room List",Join Board,Board list / Money / Players,JoinBoard / RequestEmptyRoom
4.1,Room,PrepareScr,MERGED,Board Joined,Start / Leave,Player list / Ready status,Ready / ChangeTeam / StartGame
5.1,Gameplay,GameScr,MERGED,Game Start,Finish Match,Map / Players / HUD,Move / Shoot / UseItem / SkipTurn
6.1,Inventory,Inventory,REQUIRED,Menu "Inventory",Back to Menu,Item list / Equip slots,ChangeItem
6.2,Inventory,EquipScreen,REQUIRED,Menu "Equipment",Back to Menu,Equipment stats / Upgrade,GetEquip
7.1,Shop,ShopItem,REQUIRED,Menu "Shop",Back to Menu,Items for sale,BuyItem
7.2,Shop,ShopEquipment,REQUIRED,Menu "Shop Eq",Back to Menu,Equips for sale,BuyEquip
8.1,Social,FriendList,REQUIRED,Menu "Friend",Back to Menu,Friend list / Status,AddFriend / Chat
9.1,Mission,MissionScreen,REQUIRED,Menu "Mission",Back to Menu,Mission list / Progress,GetMissions
12.1,Config,ConfigScr,REQUIRED,Menu "Option",Back to Menu,Sound / Graphics / Vibration,None
